State,County,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,COVID Deaths (Normalized by Population),COVID Cases (Normalized by Population)
Arizona,Pinal,0.234151758,0.611576465,0.11318462,0.018258602,0.005021583,0.017806972,0.00015341764821549342,0.008161386722674913
Arizona,Yuma,0.6636424879999999,0.30075854,0.030578636,0.002738478,0.001826484,0.000455373,0.00045840018336007336,0.030394738688507717
California,Butte,0.474675001,0.474203408,0.040162687,0.007762557,0.0013698629999999998,0.001826484,9.124670371282837e-06,0.0008622813500862281
California,Calaveras,0.625160782,0.33671681,0.032607052000000004,0.004602114,0.000456621,0.000456621,0.0,0.0008713647750789674
California,Imperial,0.260142975,0.623931432,0.100407965,0.010041919,0.0031950990000000003,0.00228061,0.0005352757773914963,0.035995916452832274
California,Inyo,0.5996955860000001,0.339602515,0.036967587,0.012780398,0.002281857,0.008672056,5.543544542380398e-05,0.0017739342535617274
California,Kern,0.185300796,0.46689872,0.281607905,0.064366095,0.000913242,0.000913242,8.442549561098509e-05,0.005296588987804959
California,Kings,0.272496694,0.549056816,0.14557352099999998,0.031959728,0.0,0.000913242,0.00022230940238001832,0.016372433634104882
California,Mariposa,0.571872895,0.358745665,0.046095017,0.018720214,0.004109589,0.000456621,5.8129396035575196e-05,0.00156949369296053
California,Mendocino,0.8353481140000001,0.149557049,0.01006197,0.004117116,0.000457875,0.000457875,0.0,0.000979838384304142
California,Mono,0.830658482,0.108652095,0.014151508,0.01140804,0.004109589,0.031020286,6.923289947382996e-05,0.002907781777900859
California,Riverside,0.129625471,0.488800309,0.277974898,0.092647903,0.008670809,0.00228061,0.00018740796568855633,0.007302434360663594
California,Sacramento,0.479218754,0.434531028,0.07484342599999999,0.009123687,0.001826484,0.000456621,4.381279565583245e-05,0.002188706865336218
California,San Joaquin,0.456905457,0.463218305,0.070745066,0.007761309,0.000913242,0.000456621,7.085238037756447e-05,0.00513548549625532
California,Santa Barbara,0.689172094,0.292578037,0.010947676000000002,0.005933578,0.000913242,0.000455373,6.494975352688361e-05,0.006486016765994996
California,Sutter,0.5089253189999999,0.445909125,0.038772862000000005,0.003652968,0.002283105,0.000456621,4.1249445710573264e-05,0.0020315352012457333
California,Ventura,0.486085535,0.4700900770000001,0.037431694,0.004109589,0.0013698629999999998,0.000913242,5.4373136833544925e-05,0.0036595485138403282
Georgia,Richmond,0.6984021359999999,0.294280638,0.005947363000000001,0.000913242,0.0,0.000456621,0.0002419538016373853,0.004997086678714979
Hawaii,Hawaii,0.233812541,0.147516553,0.282206457,0.330529616,0.005479459,0.000455373,0.0,0.0004317339327983802
Idaho,Benewah,0.634034544,0.321097812,0.035723844,0.008230558,0.000456621,0.000456621,0.0,0.002258550225855023
Montana,Gallatin,0.8712940090000001,0.11776081,0.007753824,0.002735983,0.0,0.000455373,8.738661586591397e-06,0.0023681772899662693
Montana,Missoula,0.50481573,0.428092173,0.038781595,0.012328767,0.007762557,0.008219178,8.361204013377926e-06,0.0007441471571906353
Montana,Sanders,0.903606105,0.082567844,0.010567206,0.000931099,0.001862197,0.000465549,0.0,0.0
Nevada,Nye,0.955272351,0.040163934,0.0031950990000000003,0.000913242,0.0,0.000455373,0.00015906039841448596,0.005866147493526242
Nevada,Washoe,0.580073359,0.393907977,0.022365696,0.0013698629999999998,0.0,0.002283105,0.0,0.0004175365344467641
New Mexico,Dona Ana,0.440447139,0.4970144970000001,0.049300097,0.008216683,0.001826484,0.0031950990000000003,4.124750796306056e-05,0.00438598501340544
New Mexico,Luna,0.939586855,0.052554018,0.005555769,0.001383801,0.000457875,0.000461681,0.00012653422750854106,0.0033742460668944284
Oregon,Deschutes,0.8811732940000001,0.09195178,0.011014507,0.010837588,0.003652968,0.0013698629999999998,0.0,0.0009256823746029175
Oregon,Jackson,0.7150981390000001,0.230292701,0.023858824,0.02626701,0.003570083,0.000913242,0.0,0.0005295459482945905
Oregon,Josephine,0.772236445,0.193349552,0.013059361,0.018614916,0.002283105,0.000456621,1.1430269640060807e-05,0.0003771988981220067
Oregon,Lane,0.7101292509999999,0.253798937,0.028309255,0.006392694,0.000913242,0.000456621,7.85202595356312e-06,0.00043186142744597154
Washington,Benton,0.832440805,0.148780081,0.014661956,0.003656752,0.0,0.000460405,0.0004011937961739811,0.008796907872205098
Washington,Chelan,0.8072020059999999,0.16627235,0.012362824,0.010509851,0.003196347,0.000456621,7.7720207253886e-05,0.004494818652849741
Washington,Okanogan,0.648194777,0.316044617,0.011965552,0.019211233,0.001831516,0.002752305,4.734512226877826e-05,0.0020121676964230764
Wyoming,Uinta,0.867154478,0.130105796,0.002283105,0.0,0.0,0.000456621,0.0,0.008751112429546128
